IP地址,数据中心,地区,城市,网络延迟
104.19.83.254,SJC,北美洲,圣何塞,149 ms
104.16.124.40,LAX,北美洲,洛杉矶,149 ms
104.19.38.213,SJC,北美洲,圣何塞,149 ms
162.159.253.40,LAX,北美洲,洛杉矶,149 ms
104.19.69.231,SJC,北美洲,圣何塞,149 ms
104.19.71.147,SJC,北美洲,圣何塞,149 ms
1.0.0.193,SJC,北美洲,圣何塞,149 ms
104.19.10.115,SJC,北美洲,圣何塞,150 ms
104.19.76.15,SJC,北美洲,圣何塞,150 ms
104.21.233.107,LAX,北美洲,洛杉矶,150 ms
104.18.122.74,LAX,北美洲,洛杉矶,150 ms
104.19.4.157,SJC,北美洲,圣何塞,150 ms
104.18.31.149,LAX,北美洲,洛杉矶,150 ms
104.19.45.148,SJC,北美洲,圣何塞,150 ms
198.41.216.175,SJC,北美洲,圣何塞,150 ms
104.18.36.207,LAX,北美洲,洛杉矶,150 ms
104.19.55.251,SJC,北美洲,圣何塞,150 ms
104.19.30.106,SJC,北美洲,圣何塞,150 ms
104.18.56.218,SJC,北美洲,圣何塞,151 ms
104.19.88.117,SJC,北美洲,圣何塞,151 ms
104.19.87.95,SJC,北美洲,圣何塞,151 ms
104.19.253.137,LAX,北美洲,洛杉矶,151 ms
104.16.117.20,LAX,北美洲,洛杉矶,151 ms
104.19.17.3,SJC,北美洲,圣何塞,152 ms
104.18.21.112,LAX,北美洲,洛杉矶,152 ms
104.18.20.245,LAX,北美洲,洛杉矶,152 ms
104.19.72.233,SJC,北美洲,圣何塞,152 ms
104.19.74.164,SJC,北美洲,圣何塞,152 ms
104.19.26.142,SJC,北美洲,圣何塞,152 ms
104.17.141.35,HKG,亚太地区,香港,152 ms
104.18.125.96,LAX,北美洲,洛杉矶,153 ms
104.19.140.4,LAX,北美洲,洛杉矶,153 ms
104.19.53.135,SJC,北美洲,圣何塞,153 ms
104.19.29.181,SJC,北美洲,圣何塞,153 ms
104.19.123.81,SJC,北美洲,圣何塞,154 ms
104.19.243.108,LAX,北美洲,洛杉矶,154 ms
104.19.84.88,SJC,北美洲,圣何塞,154 ms
104.18.117.69,LAX,北美洲,洛杉矶,154 ms
141.101.122.205,SJC,北美洲,圣何塞,154 ms
104.16.32.237,HKG,亚太地区,香港,154 ms
104.19.244.53,LAX,北美洲,洛杉矶,154 ms
104.16.212.222,HKG,亚太地区,香港,155 ms
104.16.33.209,HKG,亚太地区,香港,155 ms
104.18.22.100,LAX,北美洲,洛杉矶,155 ms
104.19.0.41,SJC,北美洲,圣何塞,155 ms
104.16.112.158,LAX,北美洲,洛杉矶,155 ms
104.18.124.50,LAX,北美洲,洛杉矶,155 ms
104.17.65.29,HKG,亚太地区,香港,156 ms
104.19.125.72,SJC,北美洲,圣何塞,156 ms
104.18.19.3,LAX,北美洲,洛杉矶,156 ms
104.16.208.16,HKG,亚太地区,香港,156 ms
104.18.25.254,LAX,北美洲,洛杉矶,156 ms
104.17.74.56,HKG,亚太地区,香港,156 ms
104.19.75.62,SJC,北美洲,圣何塞,156 ms
104.19.64.146,SJC,北美洲,圣何塞,156 ms
104.19.8.54,SJC,北美洲,圣何塞,156 ms
104.17.64.142,HKG,亚太地区,香港,156 ms
104.19.249.3,LAX,北美洲,洛杉矶,157 ms
104.19.240.168,LAX,北美洲,洛杉矶,157 ms
104.17.69.243,HKG,亚太地区,香港,157 ms
104.19.137.90,LAX,北美洲,洛杉矶,157 ms
104.19.16.192,SJC,北美洲,圣何塞,157 ms
104.17.0.196,SJC,北美洲,圣何塞,157 ms
104.21.236.45,LAX,北美洲,洛杉矶,158 ms
104.16.214.183,HKG,亚太地区,香港,158 ms
104.19.5.121,SJC,北美洲,圣何塞,158 ms
104.19.25.191,SJC,北美洲,圣何塞,158 ms
104.16.38.116,HKG,亚太地区,香港,158 ms
104.18.49.38,SJC,北美洲,圣何塞,158 ms
104.19.77.197,SJC,北美洲,圣何塞,158 ms
104.16.115.171,LAX,北美洲,洛杉矶,158 ms
104.19.110.60,SJC,北美洲,圣何塞,158 ms
104.17.68.239,HKG,亚太地区,香港,158 ms
104.18.119.42,LAX,北美洲,洛杉矶,159 ms
104.17.18.143,SJC,北美洲,圣何塞,159 ms
172.67.45.178,HKG,亚太地区,香港,159 ms
104.16.119.220,LAX,北美洲,洛杉矶,160 ms
104.16.120.158,LAX,北美洲,洛杉矶,160 ms
104.19.90.102,SJC,北美洲,圣何塞,160 ms
104.17.59.12,SJC,北美洲,圣何塞,160 ms
104.17.72.135,HKG,亚太地区,香港,160 ms
104.16.118.56,LAX,北美洲,洛杉矶,160 ms
162.159.39.112,LAX,北美洲,洛杉矶,160 ms
104.19.95.175,SJC,北美洲,圣何塞,160 ms
104.19.89.111,SJC,北美洲,圣何塞,160 ms
104.16.167.59,SJC,北美洲,圣何塞,160 ms
104.21.237.126,LAX,北美洲,洛杉矶,160 ms
104.19.12.42,SJC,北美洲,圣何塞,160 ms
104.19.98.75,SJC,北美洲,圣何塞,161 ms
104.19.96.158,SJC,北美洲,圣何塞,161 ms
104.19.255.159,LAX,北美洲,洛杉矶,161 ms
104.18.54.190,SJC,北美洲,圣何塞,161 ms
104.17.129.162,HKG,亚太地区,香港,161 ms
104.19.245.28,LAX,北美洲,洛杉矶,161 ms
104.22.54.148,HKG,亚太地区,香港,161 ms
104.18.48.128,SJC,北美洲,圣何塞,162 ms
104.19.122.181,SJC,北美洲,圣何塞,162 ms
104.19.80.191,SJC,北美洲,圣何塞,162 ms
104.19.138.121,LAX,北美洲,洛杉矶,162 ms
104.17.79.195,HKG,亚太地区,香港,162 ms
104.19.113.36,SJC,北美洲,圣何塞,162 ms
104.16.40.77,HKG,亚太地区,香港,162 ms
104.19.18.32,SJC,北美洲,圣何塞,162 ms
104.19.118.100,SJC,北美洲,圣何塞,162 ms
104.18.113.113,LAX,北美洲,洛杉矶,162 ms
104.17.78.85,HKG,亚太地区,香港,163 ms
104.17.143.50,HKG,亚太地区,香港,163 ms
104.16.36.155,HKG,亚太地区,香港,163 ms
141.101.121.100,SJC,北美洲,圣何塞,163 ms
104.19.59.232,SJC,北美洲,圣何塞,163 ms
104.18.17.113,LAX,北美洲,洛杉矶,164 ms
104.22.18.5,HKG,亚太地区,香港,164 ms
104.16.209.237,HKG,亚太地区,香港,164 ms
104.19.2.46,SJC,北美洲,圣何塞,164 ms
104.19.22.175,SJC,北美洲,圣何塞,164 ms
104.16.126.41,LAX,北美洲,洛杉矶,164 ms
104.19.68.13,SJC,北美洲,圣何塞,165 ms
104.19.101.206,SJC,北美洲,圣何塞,165 ms
104.16.41.135,HKG,亚太地区,香港,165 ms
104.18.61.114,SJC,北美洲,圣何塞,165 ms
104.19.58.250,SJC,北美洲,圣何塞,165 ms
104.18.58.87,SJC,北美洲,圣何塞,165 ms
104.17.67.159,HKG,亚太地区,香港,165 ms
104.16.221.29,HKG,亚太地区,香港,165 ms
104.19.65.128,SJC,北美洲,圣何塞,165 ms
104.19.142.86,LAX,北美洲,洛杉矶,165 ms
1.1.1.179,SJC,北美洲,圣何塞,165 ms
104.19.6.145,SJC,北美洲,圣何塞,165 ms
104.19.111.69,SJC,北美洲,圣何塞,165 ms
104.22.22.46,HKG,亚太地区,香港,165 ms
104.19.100.79,SJC,北美洲,圣何塞,166 ms
104.16.45.99,HKG,亚太地区,香港,166 ms
172.67.28.21,HKG,亚太地区,香港,166 ms
104.16.223.102,HKG,亚太地区,香港,166 ms
104.16.210.170,HKG,亚太地区,香港,166 ms
104.16.42.35,HKG,亚太地区,香港,166 ms
104.19.49.239,SJC,北美洲,圣何塞,166 ms
104.21.230.128,LAX,北美洲,洛杉矶,166 ms
104.17.133.83,HKG,亚太地区,香港,167 ms
104.18.23.245,LAX,北美洲,洛杉矶,167 ms
104.19.106.10,SJC,北美洲,圣何塞,167 ms
104.22.28.152,HKG,亚太地区,香港,167 ms
104.21.74.173,LHR,欧洲,伦敦,167 ms
104.18.34.181,HKG,亚太地区,香港,167 ms
104.21.34.216,LHR,欧洲,伦敦,167 ms
104.18.55.240,SJC,北美洲,圣何塞,167 ms
162.159.247.242,LAX,北美洲,洛杉矶,167 ms
104.19.66.105,SJC,北美洲,圣何塞,167 ms
104.19.1.106,SJC,北美洲,圣何塞,167 ms
172.67.38.232,HKG,亚太地区,香港,167 ms
104.19.94.107,SJC,北美洲,圣何塞,167 ms
104.16.253.65,SJC,北美洲,圣何塞,167 ms
104.21.239.84,LAX,北美洲,洛杉矶,168 ms
104.21.43.191,LHR,欧洲,伦敦,168 ms
104.16.44.181,HKG,亚太地区,香港,168 ms
104.21.234.117,LAX,北美洲,洛杉矶,168 ms
104.17.136.187,HKG,亚太地区,香港,168 ms
104.21.59.171,LHR,欧洲,伦敦,168 ms
104.21.23.187,LHR,欧洲,伦敦,168 ms
104.19.104.253,SJC,北美洲,圣何塞,168 ms
104.19.112.173,SJC,北美洲,圣何塞,168 ms
104.21.44.199,LHR,欧洲,伦敦,168 ms
104.19.41.105,SJC,北美洲,圣何塞,169 ms
104.17.75.192,HKG,亚太地区,香港,169 ms
104.21.33.76,LHR,欧洲,伦敦,169 ms
104.22.21.138,HKG,亚太地区,香港,169 ms
104.16.34.241,HKG,亚太地区,香港,169 ms
104.18.27.251,LAX,北美洲,洛杉矶,169 ms
104.21.46.73,LHR,欧洲,伦敦,169 ms
172.67.206.217,LHR,欧洲,伦敦,169 ms
104.16.144.127,SJC,北美洲,圣何塞,169 ms
104.18.62.252,SJC,北美洲,圣何塞,169 ms
172.67.34.164,HKG,亚太地区,香港,169 ms
104.17.76.248,HKG,亚太地区,香港,169 ms
104.21.30.160,LHR,欧洲,伦敦,169 ms
104.17.166.231,SJC,北美洲,圣何塞,170 ms
104.17.128.62,HKG,亚太地区,香港,170 ms
104.17.130.225,HKG,亚太地区,香港,170 ms
104.22.60.77,HKG,亚太地区,香港,170 ms
104.22.58.237,HKG,亚太地区,香港,170 ms
104.19.109.141,SJC,北美洲,圣何塞,170 ms
104.17.138.106,HKG,亚太地区,香港,170 ms
104.17.66.197,HKG,亚太地区,香港,170 ms
104.18.112.27,LAX,北美洲,洛杉矶,170 ms
104.21.48.18,LHR,欧洲,伦敦,170 ms
104.19.15.28,SJC,北美洲,圣何塞,170 ms
172.67.162.217,LHR,欧洲,伦敦,170 ms
104.18.41.145,HKG,亚太地区,香港,170 ms
162.159.38.113,LAX,北美洲,洛杉矶,170 ms
104.22.59.108,HKG,亚太地区,香港,170 ms
104.21.207.58,LHR,欧洲,伦敦,170 ms
104.21.106.163,LHR,欧洲,伦敦,170 ms
172.67.197.53,LHR,欧洲,伦敦,170 ms
104.21.52.131,LHR,欧洲,伦敦,171 ms
104.21.53.90,LHR,欧洲,伦敦,171 ms
104.16.35.222,HKG,亚太地区,香港,171 ms
104.21.6.158,LHR,欧洲,伦敦,171 ms
104.19.27.188,SJC,北美洲,圣何塞,171 ms
104.21.14.54,LHR,欧洲,伦敦,171 ms
104.19.20.166,SJC,北美洲,圣何塞,171 ms
104.22.51.69,HKG,亚太地区,香港,171 ms
104.17.131.228,HKG,亚太地区,香港,171 ms
104.16.163.72,SJC,北美洲,圣何塞,171 ms
45.142.120.215,SJC,北美洲,圣何塞,171 ms
104.21.72.77,LHR,欧洲,伦敦,172 ms
172.64.154.97,HKG,亚太地区,香港,172 ms
172.67.23.246,HKG,亚太地区,香港,172 ms
104.21.95.88,LHR,欧洲,伦敦,172 ms
172.67.203.25,LHR,欧洲,伦敦,172 ms
104.21.213.153,LHR,欧洲,伦敦,172 ms
104.21.90.182,LHR,欧洲,伦敦,172 ms
172.67.26.157,HKG,亚太地区,香港,172 ms
104.16.216.240,HKG,亚太地区,香港,173 ms
104.21.111.29,LHR,欧洲,伦敦,173 ms
104.16.39.232,HKG,亚太地区,香港,173 ms
172.67.202.113,LHR,欧洲,伦敦,173 ms
162.159.243.36,LAX,北美洲,洛杉矶,173 ms
104.22.20.13,HKG,亚太地区,香港,173 ms
104.18.26.38,LAX,北美洲,洛杉矶,173 ms
104.21.58.90,LHR,欧洲,伦敦,174 ms
104.16.43.180,HKG,亚太地区,香港,174 ms
104.21.94.69,LHR,欧洲,伦敦,174 ms
104.18.127.0,LAX,北美洲,洛杉矶,174 ms
104.21.227.201,LAX,北美洲,洛杉矶,175 ms
172.64.153.137,HKG,亚太地区,香港,175 ms
104.16.235.129,SJC,北美洲,圣何塞,175 ms
104.17.70.113,HKG,亚太地区,香港,175 ms
172.67.33.12,HKG,亚太地区,香港,175 ms
104.21.93.162,LHR,欧洲,伦敦,175 ms
104.22.48.40,HKG,亚太地区,香港,176 ms
172.67.154.20,LHR,欧洲,伦敦,176 ms
104.22.19.210,HKG,亚太地区,香港,176 ms
172.67.39.90,HKG,亚太地区,香港,176 ms
104.16.219.105,HKG,亚太地区,香港,177 ms
104.18.173.69,SJC,北美洲,圣何塞,177 ms
172.67.18.244,HKG,亚太地区,香港,177 ms
104.16.222.160,HKG,亚太地区,香港,178 ms
104.19.43.55,SJC,北美洲,圣何塞,178 ms
172.67.17.65,HKG,亚太地区,香港,178 ms
162.159.255.224,LAX,北美洲,洛杉矶,178 ms
104.17.142.219,HKG,亚太地区,香港,178 ms
104.17.73.70,HKG,亚太地区,香港,178 ms
104.22.53.160,HKG,亚太地区,香港,178 ms
104.22.52.77,HKG,亚太地区,香港,178 ms
104.21.45.215,LHR,欧洲,伦敦,178 ms
104.22.26.118,HKG,亚太地区,香港,178 ms
104.22.63.75,HKG,亚太地区,香港,179 ms
104.21.110.232,LHR,欧洲,伦敦,179 ms
104.22.24.55,HKG,亚太地区,香港,179 ms
104.21.57.26,LHR,欧洲,伦敦,179 ms
104.22.30.45,HKG,亚太地区,香港,179 ms
104.19.9.221,SJC,北美洲,圣何塞,179 ms
104.22.56.115,HKG,亚太地区,香港,180 ms
104.22.55.107,HKG,亚太地区,香港,180 ms
104.21.84.129,LHR,欧洲,伦敦,180 ms
162.159.251.16,LAX,北美洲,洛杉矶,180 ms
104.18.29.190,LAX,北美洲,洛杉矶,181 ms
104.17.77.135,HKG,亚太地区,香港,181 ms
104.16.220.122,HKG,亚太地区,香港,181 ms
104.21.201.228,LHR,欧洲,伦敦,181 ms
104.16.46.93,HKG,亚太地区,香港,181 ms
104.17.134.29,HKG,亚太地区,香港,181 ms
104.21.88.96,LHR,欧洲,伦敦,181 ms
104.21.16.110,LHR,欧洲,伦敦,181 ms
104.17.71.198,HKG,亚太地区,香港,181 ms
104.22.27.3,HKG,亚太地区,香港,182 ms
172.67.24.175,HKG,亚太地区,香港,182 ms
104.17.140.102,HKG,亚太地区,香港,182 ms
172.67.246.55,LHR,欧洲,伦敦,183 ms
104.16.211.172,HKG,亚太地区,香港,183 ms
172.67.130.133,LHR,欧洲,伦敦,183 ms
104.22.62.11,HKG,亚太地区,香港,183 ms
172.67.44.87,HKG,亚太地区,香港,183 ms
104.17.132.104,HKG,亚太地区,香港,183 ms
172.67.137.111,LHR,欧洲,伦敦,184 ms
104.16.218.110,HKG,亚太地区,香港,184 ms
104.16.217.25,HKG,亚太地区,香港,184 ms
172.67.153.147,LHR,欧洲,伦敦,184 ms
104.16.37.12,HKG,亚太地区,香港,184 ms
104.16.47.23,HKG,亚太地区,香港,184 ms
172.67.47.1,HKG,亚太地区,香港,184 ms
104.22.23.69,HKG,亚太地区,香港,185 ms
104.17.95.234,SJC,北美洲,圣何塞,185 ms
172.67.22.41,HKG,亚太地区,香港,185 ms
104.22.29.148,HKG,亚太地区,香港,186 ms
172.67.42.30,HKG,亚太地区,香港,186 ms
104.21.27.114,LHR,欧洲,伦敦,186 ms
172.67.218.190,LHR,欧洲,伦敦,187 ms
104.22.57.101,HKG,亚太地区,香港,188 ms
172.67.244.9,LHR,欧洲,伦敦,188 ms
104.18.9.187,SJC,北美洲,圣何塞,188 ms
104.16.213.241,HKG,亚太地区,香港,188 ms
104.18.170.75,SJC,北美洲,圣何塞,188 ms
172.67.21.176,HKG,亚太地区,香港,189 ms
172.67.27.134,HKG,亚太地区,香港,189 ms
1.1.1.107,SJC,北美洲,圣何塞,189 ms
172.67.36.96,HKG,亚太地区,香港,189 ms
172.67.37.113,HKG,亚太地区,香港,189 ms
172.67.35.129,HKG,亚太地区,香港,189 ms
104.17.153.119,SJC,北美洲,圣何塞,190 ms
104.16.215.238,HKG,亚太地区,香港,190 ms
104.18.121.200,LAX,北美洲,洛杉矶,191 ms
104.17.52.113,SJC,北美洲,圣何塞,191 ms
104.22.50.46,HKG,亚太地区,香港,191 ms
104.21.12.100,LHR,欧洲,伦敦,192 ms
104.21.24.42,LHR,欧洲,伦敦,192 ms
104.21.199.72,LHR,欧洲,伦敦,193 ms
104.21.4.185,LHR,欧洲,伦敦,193 ms
104.22.31.4,HKG,亚太地区,香港,193 ms
104.21.26.18,LHR,欧洲,伦敦,193 ms
104.21.40.250,LHR,欧洲,伦敦,193 ms
104.21.37.22,LHR,欧洲,伦敦,193 ms
104.17.137.220,HKG,亚太地区,香港,193 ms
172.67.31.115,HKG,亚太地区,香港,193 ms
104.21.212.117,LHR,欧洲,伦敦,194 ms
104.21.217.210,LHR,欧洲,伦敦,194 ms
104.21.89.160,LHR,欧洲,伦敦,194 ms
104.21.76.221,LHR,欧洲,伦敦,194 ms
104.21.51.190,LHR,欧洲,伦敦,194 ms
104.21.36.149,LHR,欧洲,伦敦,194 ms
104.21.10.65,LHR,欧洲,伦敦,194 ms
104.21.92.0,LHR,欧洲,伦敦,194 ms
172.67.247.80,LHR,欧洲,伦敦,195 ms
104.21.0.191,LHR,欧洲,伦敦,195 ms
104.21.41.244,LHR,欧洲,伦敦,195 ms
104.23.141.108,IAD,北美洲,阿什本,195 ms
172.67.198.190,LHR,欧洲,伦敦,195 ms
104.21.83.232,LHR,欧洲,伦敦,195 ms
172.67.180.63,LHR,欧洲,伦敦,195 ms
172.67.19.75,HKG,亚太地区,香港,195 ms
1.0.0.48,SJC,北美洲,圣何塞,195 ms
104.21.55.122,LHR,欧洲,伦敦,195 ms
172.67.191.102,LHR,欧洲,伦敦,195 ms
104.21.118.106,LHR,欧洲,伦敦,195 ms
104.21.71.41,LHR,欧洲,伦敦,195 ms
104.21.208.194,LHR,欧洲,伦敦,195 ms
104.21.13.205,LHR,欧洲,伦敦,195 ms
104.21.104.27,LHR,欧洲,伦敦,195 ms
104.21.22.93,LHR,欧洲,伦敦,195 ms
104.21.200.14,LHR,欧洲,伦敦,195 ms
172.67.194.199,LHR,欧洲,伦敦,195 ms
104.21.215.150,LHR,欧洲,伦敦,195 ms
172.67.237.54,LHR,欧洲,伦敦,195 ms
104.23.140.91,IAD,北美洲,阿什本,195 ms
172.67.190.7,LHR,欧洲,伦敦,196 ms
104.21.101.187,LHR,欧洲,伦敦,196 ms
104.21.77.227,LHR,欧洲,伦敦,196 ms
172.67.151.166,LHR,欧洲,伦敦,196 ms
1.0.0.241,SJC,北美洲,圣何塞,196 ms
104.21.64.150,LHR,欧洲,伦敦,196 ms
104.21.68.228,LHR,欧洲,伦敦,196 ms
104.21.61.51,LHR,欧洲,伦敦,196 ms
104.21.210.57,LHR,欧洲,伦敦,196 ms
172.67.30.188,HKG,亚太地区,香港,197 ms
172.67.224.237,LHR,欧洲,伦敦,197 ms
104.21.38.152,LHR,欧洲,伦敦,197 ms
172.67.128.156,LHR,欧洲,伦敦,197 ms
104.21.119.50,LHR,欧洲,伦敦,197 ms
104.21.79.17,LHR,欧洲,伦敦,197 ms
172.67.145.170,LHR,欧洲,伦敦,197 ms
188.114.99.132,LHR,欧洲,伦敦,198 ms
172.67.156.250,LHR,欧洲,伦敦,198 ms
104.27.195.22,IAD,北美洲,阿什本,198 ms
104.22.25.132,HKG,亚太地区,香港,198 ms
104.21.86.156,LHR,欧洲,伦敦,198 ms
172.64.108.201,BUF,北美洲,水牛城,198 ms
172.67.226.129,LHR,欧洲,伦敦,198 ms
172.67.20.79,HKG,亚太地区,香港,199 ms
104.21.31.244,LHR,欧洲,伦敦,199 ms
104.17.170.195,SJC,北美洲,圣何塞,200 ms
172.67.142.139,LHR,欧洲,伦敦,200 ms
172.67.230.153,LHR,欧洲,伦敦,200 ms
172.67.231.112,LHR,欧洲,伦敦,200 ms
104.21.62.206,LHR,欧洲,伦敦,200 ms
172.67.223.63,LHR,欧洲,伦敦,200 ms
172.67.220.252,LHR,欧洲,伦敦,200 ms
104.17.139.1,HKG,亚太地区,香港,200 ms
172.67.161.55,LHR,欧洲,伦敦,200 ms
104.21.127.126,LHR,欧洲,伦敦,200 ms
172.64.78.252,EWR,北美洲,纽瓦克,200 ms
104.21.63.129,LHR,欧洲,伦敦,200 ms
172.67.147.61,LHR,欧洲,伦敦,200 ms
1.0.0.206,SJC,北美洲,圣何塞,200 ms
1.0.0.122,SJC,北美洲,圣何塞,200 ms
104.27.198.111,IAD,北美洲,阿什本,201 ms
172.64.206.87,BUF,北美洲,水牛城,201 ms
104.27.205.184,IAD,北美洲,阿什本,201 ms
172.67.208.25,LHR,欧洲,伦敦,201 ms
172.67.207.16,LHR,欧洲,伦敦,201 ms
172.64.193.83,BUF,北美洲,水牛城,201 ms
172.67.255.139,LHR,欧洲,伦敦,201 ms
104.22.16.251,HKG,亚太地区,香港,202 ms
172.67.46.250,HKG,亚太地区,香港,202 ms
172.67.228.220,LHR,欧洲,伦敦,202 ms
172.64.135.216,BUF,北美洲,水牛城,202 ms
172.67.219.18,LHR,欧洲,伦敦,202 ms
104.21.105.193,LHR,欧洲,伦敦,202 ms
172.67.200.243,LHR,欧洲,伦敦,202 ms
104.21.18.187,LHR,欧洲,伦敦,202 ms
104.22.49.129,HKG,亚太地区,香港,202 ms
172.67.192.137,LHR,欧洲,伦敦,202 ms
104.17.56.127,SJC,北美洲,圣何塞,203 ms
172.64.134.25,BUF,北美洲,水牛城,204 ms
104.21.70.66,LHR,欧洲,伦敦,204 ms
104.21.209.9,LHR,欧洲,伦敦,205 ms
104.21.218.82,LHR,欧洲,伦敦,205 ms
104.23.131.80,IAD,北美洲,阿什本,205 ms
172.67.233.26,LHR,欧洲,伦敦,205 ms
104.16.232.212,SJC,北美洲,圣何塞,205 ms
104.21.121.169,LHR,欧洲,伦敦,205 ms
104.21.11.220,LHR,欧洲,伦敦,205 ms
104.27.197.171,IAD,北美洲,阿什本,205 ms
104.17.58.206,SJC,北美洲,圣何塞,205 ms
